,layer_name,column_name,column_name_normalized,column_name_description
0,admin_boundary,ASSET_2001,,
1,admin_boundary,TOT_M,,
2,admin_boundary,dist_cen,,
3,admin_boundary,TOT_F,,
4,admin_boundary,ADI_2019,,
5,admin_boundary,F_SC,,
6,admin_boundary,P_ILL,,
7,admin_boundary,MSW_2011,,
8,admin_boundary,TOT_P,,
9,admin_boundary,ADI_2011,,
10,admin_boundary,MSW_2019,,
11,admin_boundary,P_ST,,
12,admin_boundary,F_ILL,,
13,admin_boundary,vill_name,,
14,admin_boundary,vill_ID,,
15,admin_boundary,BF_2011,,
16,admin_boundary,FC_2001,,
17,admin_boundary,F_ST,,
18,admin_boundary,P_LIT,,
19,admin_boundary,state,,
20,admin_boundary,block_cen,,
21,admin_boundary,ADI_2001,,
22,admin_boundary,BF_2019,,
23,admin_boundary,No_HH,,
24,admin_boundary,ASSET_2011,,
25,admin_boundary,M_SC,,
26,admin_boundary,MSW_2001,,
27,admin_boundary,M_LIT,,
28,admin_boundary,tehsil,,
29,admin_boundary,state_cen,,
30,admin_boundary,FC_2019,,
31,admin_boundary,M_ST,,
32,admin_boundary,district,,
33,admin_boundary,F_LIT,,
34,admin_boundary,BF_2001,,
35,admin_boundary,P_SC,,
36,admin_boundary,ASSET_2019,,
37,admin_boundary,FC_2011,,
38,admin_boundary,M_ILL,,
39,admin_boundary,system:index,,
40,aquifer_vector,weighted_contribution,,
41,aquifer_vector,aquifer_count,,
42,aquifer_vector,m2_perday,,
43,aquifer_vector,%_area_aquifer,,
44,aquifer_vector,mbgl,,
45,aquifer_vector,newcode14,,
46,aquifer_vector,yeild__,,
47,aquifer_vector,uid,,
48,aquifer_vector,Recommende,,
49,aquifer_vector,area_in_ha,,
50,aquifer_vector,id,,
51,aquifer_vector,state,,
52,aquifer_vector,m3_per_day,,
53,aquifer_vector,Age,,
54,aquifer_vector,Major_Aq_1,,
55,aquifer_vector,aquifer_class,,
56,aquifer_vector,area_re,,
57,aquifer_vector,test,,
58,aquifer_vector,zone_m,,
59,aquifer_vector,avg_mbgl,,
60,aquifer_vector,pa_order,,
61,aquifer_vector,per_cm,,
62,aquifer_vector,Principal_,,
63,aquifer_vector,intersection_area_ha,,
64,aquifer_vector,y_value,,
65,aquifer_vector,newcode43,,
66,aquifer_vector,Lithology_,,
67,aquifer_vector,system,,
68,aquifer_vector,Major_Aqui,,
69,aquifer_vector,objectid,,
70,aquifer_vector,system:index,,
71,drainage_lines,end_node,,
72,drainage_lines,ORDER,,
73,drainage_lines,stream_typ,,
74,drainage_lines,start_node,,
75,drainage_lines,cat,,
76,drainage_lines,id,,
77,drainage_lines,system:index,,
78,drainage_lines,type_code,,
79,drainage_lines,network,,
80,swb3,no_town_cities_benefited,,
81,swb3,area_21-22,,
82,swb3,census_id,,
83,swb3,k_19-20,,
84,swb3,ismissing,,
85,swb3,filled_up_storage_space_name,,
86,swb3,kr_22-23,,
87,swb3,renovation_cost,,
88,swb3,krz_23-24,,
89,swb3,extent_of_area_covered_by_wua,,
90,swb3,ref_selection_id_encroachment_assessed_name,,
91,swb3,si_no_of_water_body_within_village_town,,
92,swb3,k_21-22,,
93,swb3,area_18-19,,
94,swb3,basin_name,,
95,swb3,sub_basin_name,,
96,swb3,area_19-20,,
97,swb3,k_18-19,,
98,swb3,ref_water_body_type_id_name,,
99,swb3,nature_of_storage,,
100,swb3,longitude_dec,,
101,swb3,water_body_name,,
102,swb3,unique_id,,
103,swb3,kr_19-20,,
104,swb3,renovation_year,,
105,swb3,MWS_UID,,
106,swb3,storage_capacity_water_body_present,,
107,swb3,no_villages_benefited,,
108,swb3,ref_selection_id_wua_exists_name,,
109,swb3,water_body_loc_name,,
110,swb3,scheme_status_reason_name,,
111,swb3,water,,
112,swb3,kr_21-22,,
113,swb3,rural_or_urban,,
114,swb3,area_20-21,,
115,swb3,krz_22-23,,
116,swb3,ref_water_body_in_use_id_name,,
117,swb3,ref_selection_id_dip_sip_exists_name,,
118,swb3,UID,,
119,swb3,storage_capacity_water_body_original,,
120,swb3,Block/Tehsil Name,,
121,swb3,area_17-18,,
122,swb3,k_22-23,,
123,swb3,krz_19-20,,
124,swb3,Village Name,,
125,swb3,ref_water_body_under_repair_renovation_restoration_id_name,,
126,swb3,filled_up_storage_name,,
127,swb3,District Name,,
128,swb3,kr_18-19,,
129,swb3,latitude_dec,,
130,swb3,construcion_year,,
131,swb3,max_depth_water_body_fully_filled,,
132,swb3,water_body_ownership_name,,
133,swb3,kr_20-21,,
134,swb3,State Name,,
135,swb3,khasra_number,,
136,swb3,krz_18-19,,
137,swb3,area_23-24,,
138,swb3,water_spread_area_of_water_body,,
139,swb3,area_ored,,
140,swb3,krz_21-22,,
141,swb3,number_of_wua_formed,,
142,swb3,ref_selection_id_water_body_encroached_name,,
143,swb3,ward_name,,
144,swb3,k_23-24,,
145,swb3,water_body_nature_name,,
146,swb3,no_people_benefited_by_water_body,,
147,swb3,kr_17-18,,
148,swb3,manmade_water_body_type_name,,
149,swb3,category_sq_m,,
150,swb3,krz_17-18,,
151,swb3,reason_water_body_in_use_name2,,
152,swb3,area_22-23,,
153,swb3,construction_cost,,
154,swb3,any,,
155,swb3,kr_23-24,,
156,swb3,krz_20-21,,
157,swb3,ref_reason_water_body_in_use_id1_name,,
158,swb3,scheme_under_revival_is_done,,
159,swb3,k_20-21,,
160,swb3,k_17-18,,
161,swb3,reason_water_body_in_use_name3,,
162,swb3,town_municipalty_name,,
163,swb3,system:index,,
164,change_vector_Afforestation,uid,,
165,change_vector_Afforestation,area_in_ha,,
166,change_vector_Afforestation,fa_fo,,
167,change_vector_Afforestation,total_aff,,
168,change_vector_Afforestation,sc_fo,,
169,change_vector_Afforestation,ba_fo,,
170,change_vector_Afforestation,id,,
171,change_vector_Afforestation,bu_fo,,
172,change_vector_Afforestation,fo_fo,,
173,change_vector_Afforestation,system:index,,
174,change_vector_CropIntensity,tr_si,,
175,change_vector_CropIntensity,si_do,,
176,change_vector_CropIntensity,uid,,
177,change_vector_CropIntensity,si_tr,,
178,change_vector_CropIntensity,same,,
179,change_vector_CropIntensity,area_in_ha,,
180,change_vector_CropIntensity,do_tr,,
181,change_vector_CropIntensity,total_change,,
182,change_vector_CropIntensity,tr_do,,
183,change_vector_CropIntensity,id,,
184,change_vector_CropIntensity,system:index,,
185,change_vector_CropIntensity,do_si,,
186,change_vector_Deforestation,fo_fa,,
187,change_vector_Deforestation,uid,,
188,change_vector_Deforestation,fo_ba,,
189,change_vector_Deforestation,total_def,,
190,change_vector_Deforestation,area_in_ha,,
191,change_vector_Deforestation,fo_sc,,
192,change_vector_Deforestation,fo_bu,,
193,change_vector_Deforestation,id,,
194,change_vector_Deforestation,fo_fo,,
195,change_vector_Deforestation,system:index,,
196,change_vector_Degradation,uid,,
197,change_vector_Degradation,f_bu,,
198,change_vector_Degradation,f_sc,,
199,change_vector_Degradation,area_in_ha,,
200,change_vector_Degradation,total_deg,,
201,change_vector_Degradation,f_ba,,
202,change_vector_Degradation,id,,
203,change_vector_Degradation,f_f,,
204,change_vector_Degradation,system:index,,
205,change_vector_Urbanization,uid,,
206,change_vector_Urbanization,tr_bu,,
207,change_vector_Urbanization,bu_bu,,
208,change_vector_Urbanization,total_urb,,
209,change_vector_Urbanization,area_in_ha,,
210,change_vector_Urbanization,id,,
211,change_vector_Urbanization,w_bu,,
212,change_vector_Urbanization,b_bu,,
213,change_vector_Urbanization,system:index,,
214,cropping_intensity_2017-23,single_cropped_area_2018,,
215,cropping_intensity_2017-23,total_cropable_area_ever_hydroyear_2017_2023,,
216,cropping_intensity_2017-23,single_cropped_area_2019,,
217,cropping_intensity_2017-23,single_kharif_cropped_area_2019,,
218,cropping_intensity_2017-23,single_kharif_cropped_area_2018,,
219,cropping_intensity_2017-23,single_kharif_cropped_area_2017,,
220,cropping_intensity_2017-23,sum,,
221,cropping_intensity_2017-23,triply_cropped_area_2022,,
222,cropping_intensity_2017-23,doubly_cropped_area_2018,,
223,cropping_intensity_2017-23,triply_cropped_area_2021,,
224,cropping_intensity_2017-23,doubly_cropped_area_2017,,
225,cropping_intensity_2017-23,uid,,
226,cropping_intensity_2017-23,triply_cropped_area_2020,,
227,cropping_intensity_2017-23,single_non_kharif_cropped_area_2020,,
228,cropping_intensity_2017-23,doubly_cropped_area_2019,,
229,cropping_intensity_2017-23,cropping_intensity_2019,,
230,cropping_intensity_2017-23,single_non_kharif_cropped_area_2022,,
231,cropping_intensity_2017-23,cropping_intensity_2018,,
232,cropping_intensity_2017-23,single_non_kharif_cropped_area_2021,,
233,cropping_intensity_2017-23,cropping_intensity_2017,,
234,cropping_intensity_2017-23,area_in_ha,,
235,cropping_intensity_2017-23,single_cropped_area_2020,,
236,cropping_intensity_2017-23,triply_cropped_area_2023,,
237,cropping_intensity_2017-23,single_non_kharif_cropped_area_2023,,
238,cropping_intensity_2017-23,single_cropped_area_2021,,
239,cropping_intensity_2017-23,single_cropped_area_2022,,
240,cropping_intensity_2017-23,single_cropped_area_2023,,
241,cropping_intensity_2017-23,id,,
242,cropping_intensity_2017-23,single_kharif_cropped_area_2023,,
243,cropping_intensity_2017-23,single_kharif_cropped_area_2022,,
244,cropping_intensity_2017-23,single_kharif_cropped_area_2021,,
245,cropping_intensity_2017-23,single_kharif_cropped_area_2020,,
246,cropping_intensity_2017-23,cropping_intensity_2023,,
247,cropping_intensity_2017-23,triply_cropped_area_2019,,
248,cropping_intensity_2017-23,doubly_cropped_area_2021,,
249,cropping_intensity_2017-23,triply_cropped_area_2018,,
250,cropping_intensity_2017-23,doubly_cropped_area_2020,,
251,cropping_intensity_2017-23,triply_cropped_area_2017,,
252,cropping_intensity_2017-23,doubly_cropped_area_2023,,
253,cropping_intensity_2017-23,single_non_kharif_cropped_area_2017,,
254,cropping_intensity_2017-23,doubly_cropped_area_2022,,
255,cropping_intensity_2017-23,cropping_intensity_2022,,
256,cropping_intensity_2017-23,single_non_kharif_cropped_area_2019,,
257,cropping_intensity_2017-23,cropping_intensity_2021,,
258,cropping_intensity_2017-23,single_non_kharif_cropped_area_2018,,
259,cropping_intensity_2017-23,cropping_intensity_2020,,
260,cropping_intensity_2017-23,system:index,,
261,cropping_intensity_2017-23,single_cropped_area_2017,,
262,drought_2017_2022,rd21-6-26,,
263,drought_2017_2022,rd20-9-4,,
264,drought_2017_2022,rd17-6-4,,
265,drought_2017_2022,rd18-6-20,,
266,drought_2017_2022,rd21-7-3,,
267,drought_2017_2022,rd20-9-11,,
268,drought_2017_2022,rd18-6-27,,
269,drought_2017_2022,rd17-10-29,,
270,drought_2017_2022,frth3_2019,,
271,drought_2017_2022,frth3_2017,,
272,drought_2017_2022,rd19-9-18,,
273,drought_2017_2022,frth3_2018,,
274,drought_2017_2022,kh_cr_2020,,
275,drought_2017_2022,kh_cr_2021,,
276,drought_2017_2022,rd20-9-18,,
277,drought_2017_2022,kh_cr_2022,,
278,drought_2017_2022,rd19-9-11,,
279,drought_2017_2022,rd22-9-25,,
280,drought_2017_2022,rd17-8-27,,
281,drought_2017_2022,kh_cr_2017,,
282,drought_2017_2022,rd20-10-2,,
283,drought_2017_2022,kh_cr_2018,,
284,drought_2017_2022,rd19-9-4,,
285,drought_2017_2022,kh_cr_2019,,
286,drought_2017_2022,rd17-8-20,,
287,drought_2017_2022,rd20-10-9,,
288,drought_2017_2022,rd18-6-13,,
289,drought_2017_2022,rd19-9-25,,
290,drought_2017_2022,rd17-10-1,,
291,drought_2017_2022,rd17-10-8,,
292,drought_2017_2022,rd17-7-9,,
293,drought_2017_2022,rd19-10-2,,
294,drought_2017_2022,rd17-8-13,,
295,drought_2017_2022,rd21-7-10,,
296,drought_2017_2022,frth1_2019,,
297,drought_2017_2022,rd21-8-7,,
298,drought_2017_2022,rd18-7-11,,
299,drought_2017_2022,rd17-7-2,,
300,drought_2017_2022,rd19-10-9,,
301,drought_2017_2022,t_wks_2017,,
302,drought_2017_2022,frth1_2017,,
303,drought_2017_2022,rd22-10-9,,
304,drought_2017_2022,rd21-7-17,,
305,drought_2017_2022,frth1_2018,,
306,drought_2017_2022,inth3_2020,,
307,drought_2017_2022,uid,,
308,drought_2017_2022,inth3_2021,,
309,drought_2017_2022,rd20-8-21,,
310,drought_2017_2022,rd18-7-18,,
311,drought_2017_2022,t_wks_2018,,
312,drought_2017_2022,inth3_2022,,
313,drought_2017_2022,t_wks_2019,,
314,drought_2017_2022,rd19-8-28,,
315,drought_2017_2022,rd20-8-28,,
316,drought_2017_2022,rd22-6-5,,
317,drought_2017_2022,rd20-10-16,,
318,drought_2017_2022,rd19-8-21,,
319,drought_2017_2022,rd22-9-11,,
320,drought_2017_2022,rd21-7-24,,
321,drought_2017_2022,rd19-8-7,,
322,drought_2017_2022,rd17-7-30,,
323,drought_2017_2022,frth3_2022,,
324,drought_2017_2022,frth3_2020,,
325,drought_2017_2022,frth3_2021,,
326,drought_2017_2022,rd20-8-14,,
327,drought_2017_2022,inth3_2017,,
328,drought_2017_2022,inth3_2018,,
329,drought_2017_2022,rd22-9-18,,
330,drought_2017_2022,inth3_2019,,
331,drought_2017_2022,system:index,,
332,drought_2017_2022,rd20-7-3,,
333,drought_2017_2022,rd17-8-6,,
334,drought_2017_2022,rd17-7-23,,
335,drought_2017_2022,rd20-10-30,,
336,drought_2017_2022,w_mld_2017,,
337,drought_2017_2022,w_mld_2018,,
338,drought_2017_2022,w_mld_2019,,
339,drought_2017_2022,rd22-5-29,,
340,drought_2017_2022,rd20-7-31,,
341,drought_2017_2022,rd18-6-6,,
342,drought_2017_2022,w_mld_2020,,
343,drought_2017_2022,w_mld_2021,,
344,drought_2017_2022,w_mld_2022,,
345,drought_2017_2022,rd19-7-3,,
346,drought_2017_2022,rd18-10-31,,
347,drought_2017_2022,rd19-10-23,,
348,drought_2017_2022,t_wks_2020,,
349,drought_2017_2022,rd19-5-29,,
350,drought_2017_2022,m_ons_2017,,
351,drought_2017_2022,t_wks_2021,,
352,drought_2017_2022,m_ons_2019,,
353,drought_2017_2022,t_wks_2022,,
354,drought_2017_2022,m_ons_2018,,
355,drought_2017_2022,rd21-5-29,,
356,drought_2017_2022,frth1_2022,,
357,drought_2017_2022,m_ons_2020,,
358,drought_2017_2022,m_ons_2022,,
359,drought_2017_2022,m_ons_2021,,
360,drought_2017_2022,frth1_2020,,
361,drought_2017_2022,frth1_2021,,
362,drought_2017_2022,rd20-7-24,,
363,drought_2017_2022,rd21-10-16,,
364,drought_2017_2022,rd20-10-23,,
365,drought_2017_2022,rd17-7-16,,
366,drought_2017_2022,rd19-10-16,,
367,drought_2017_2022,rd20-8-7,,
368,drought_2017_2022,rd17-9-3,,
369,drought_2017_2022,rd22-10-30,,
370,drought_2017_2022,rd18-10-24,,
371,drought_2017_2022,rd18-5-30,,
372,drought_2017_2022,rd21-6-5,,
373,drought_2017_2022,rd17-10-15,,
374,drought_2017_2022,w_mod_2022,,
375,drought_2017_2022,rd20-7-10,,
376,drought_2017_2022,w_mod_2021,,
377,drought_2017_2022,w_mod_2020,,
378,drought_2017_2022,w_no_2017,,
379,drought_2017_2022,w_no_2018,,
380,drought_2017_2022,w_no_2019,,
381,drought_2017_2022,rd18-7-4,,
382,drought_2017_2022,frth2_2020,,
383,drought_2017_2022,rd18-10-17,,
